Date,Nominal GDP,Corporate Profits,Statistical Discrepancy,Dividends,Foreign Saving,Personal Savings,Net Govt Saving,Consumption of Fixed Capital,Gross Domestic Investment,Net Investment
1947-03-31,243.164,9.959,3.072,6.068,9.405,12.595,2.583,28.071,40.802,12.730999999999998
1947-06-30,245.968,13.603,2.759,6.368,9.873,8.476,2.323,28.706,39.622,10.916
1947-09-30,249.585,13.868,2.006,6.592,10.081,12.635,-0.348,29.515,41.003,11.488
1947-12-31,259.745,14.455,3.623,6.556,7.797,10.372,5.548,30.191,49.835,19.644000000000002
1948-03-31,265.742,17.971,0.672,7.164,4.916,12.763,4.799,30.615,54.739,24.124
1948-06-30,272.567,19.109,-1.087,6.824,3.024,16.672,2.651,31.086,58.581,27.495000000000005
1948-09-30,279.196,18.762,0.256,7.26,0.932,19.876,-1.057,31.65,61.294,29.644
1948-12-31,280.366,20.713,-0.857,7.564,0.796,19.458,-2.213,31.959,60.7,28.741000000000003
1949-03-31,275.034,20.168,0.854,7.432,2.192,15.143,-5.397,32.249,53.392,21.143
1949-06-30,271.351,19.144,0.69,7.4,1.708,13.204,-8.649,32.256,47.535,15.278999999999996
1949-09-30,272.889,19.987,2.026,7.296,0.648,13.895,-8.746,32.255,51.473,19.217999999999996
1949-12-31,270.627,16.892,3.395,7.596,-1.032,12.25,-9.098,32.382,49.257,16.875
1950-03-31,280.828,16.616,3.323,8.476,-0.957,24.168,-11.563,32.405,57.429,25.024
1950-06-30,290.383,17.781,0.451,8.572,-1.245,20.554,-0.844,32.769,63.381,30.612000000000002
1950-09-30,308.153,18.717,0.629,9.356,-2.681,13.777,10.353,33.572,70.375,36.803
1950-12-31,319.945,20.208,0.648,9.736,-2.489,21.489,10.838,34.823,80.759,45.936
1951-03-31,336,14.668,3.465,8.612,-1.71,17.543,14.45,36.253,79.477,43.224000000000004
1951-06-30,344.09,18.564,3.441,8.892,0.35,28.863,6.625,37.336,85.586,48.25
1951-09-30,351.385,21.229,4.562,8.836,2.19,29.193,0.896,38.267,83.121,44.85399999999999
1951-12-31,356.178,21.114,2.306,8.96,2.678,27.918,2.429,39.045,81.173,42.128
1952-03-31,359.82,20.498,3.767,8.432,3.522,27.357,3.009,39.53,82.208,42.678
1952-06-30,361.03,19.757,2.426,8.992,1.126,26.163,-1.136,40.176,77.268,37.092
1952-09-30,367.701,19.764,1.702,8.9,-1.054,30.082,-2.641,41.003,82.065,41.062
1952-12-31,380.812,22.212,2.541,9.084,-1.234,27.624,-0.202,41.709,86.035,44.32599999999999
1953-03-31,387.98,22.056,2.907,8.764,-1.347,27.936,0.231,42.496,88.21,45.71399999999999
1953-06-30,391.749,21.133,3.234,9.524,-1.827,29.81,-0.472,43.266,89.273,46.007
1953-09-30,391.171,20.434,3.572,9.4,-1.179,29.134,-0.269,43.817,88.465,44.648
1953-12-31,385.97,17.777,5.446,9.228,-0.931,29.88,-6.809,44.381,82.375,37.994
1954-03-31,385.345,20.412,2.787,9.744,-0.488,30.581,-7.336,44.94,82.13,37.19
1954-06-30,386.121,21.235,2.522,9.172,0.336,27.727,-6.276,45.691,81.392,35.70099999999999
1954-09-30,390.996,22.235,3.445,9.568,-0.076,26.989,-5.774,46.3,83.704,37.403999999999996
1954-12-31,399.734,24.565,2.888,9.748,0.908,27.288,-4.438,46.991,86.637,39.646
1955-03-31,413.073,27.672,3.43,10.26,0.483,26.238,-1.215,47.461,92.843,45.382000000000005
1955-06-30,421.532,28.727,1.795,10.396,-0.229,27.459,1.453,48.178,97.444,49.266000000000005
1955-09-30,430.221,28.289,1.993,11.048,0.807,29.515,1.754,49.315,99.012,49.697
1955-12-31,437.092,28.826,1.324,11.216,0.427,29.581,4.46,50.603,103.151,52.547999999999995
1956-03-31,439.746,27.736,-0.787,11.52,0.943,32.065,5.182,52.144,103.876,51.732000000000006
1956-06-30,446.01,27.546,-1.667,11.58,2.231,34.212,3.819,53.505,103.604,50.099
1956-09-30,451.191,28.581,-2.582,11.596,3.023,35.544,4.282,54.819,106.028,51.209
1956-12-31,460.463,28.358,-3.091,12.032,4.531,36.791,4.285,56.032,105.81,49.778000000000006
1957-03-31,469.779,29.315,-1.298,12.088,5.556,36.089,3.709,57.313,107.485,50.172
1957-06-30,472.025,28.933,-1.939,12.308,4.806,38.092,1.252,58.42,107.644,49.224000000000004
1957-09-30,479.49,28.476,0.655,12.46,4.914,37.779,0.914,59.488,109.938,50.45
1957-12-31,474.864,26.315,1.164,12.284,3.594,35.588,-5.765,60.448,101.872,41.424
1958-03-31,467.54,23.138,-0.608,12.144,1.477,37.174,-9.178,61.092,97.997,36.905
1958-06-30,471.978,23.932,1.07,12.248,0.821,37.235,-14.125,62.003,97.046,35.043000000000006
1958-09-30,485.841,25.851,1.021,12.136,1.049,39.86,-11.569,62.943,104.923,41.980000000000004
1958-12-31,499.555,28.745,1.11,11.832,-0.143,41.014,-8.647,63.782,114.316,50.534000000000006
1959-03-31,510.33,31.469,0.185,12.788,-1.41,37.871,-3.224,64.464,119.383,54.919
1959-06-30,522.653,34.115,-2.229,13.236,-2.888,38.777,0.102,65.122,125.539,60.417
1959-09-30,525.034,32.082,2.461,13.772,0.033,34.996,-1.784,65.789,119.743,53.95399999999999
1959-12-31,528.6,33.127,0.391,14.128,-0.823,37.22,-2.361,66.397,121.463,55.06599999999999
1960-03-31,542.648,34.445,0.524,14.112,1.865,38.266,7.333,66.985,131.576,64.591
1960-06-30,541.08,32.68,-2.316,14.196,1.723,36.543,3.713,67.588,122.29,54.70200000000001
1960-09-30,545.604,32.675,0.313,14.428,4.214,38.57,2.094,68.204,123.217,55.013000000000005
1960-12-31,540.197,31.378,-3.741,14.316,4.884,38.023,-2.446,68.825,112.842,44.016999999999996
1961-03-31,545.018,30.286,-1.204,14.264,5.438,41.746,-2.618,69.496,118.005,48.509
1961-06-30,555.545,33.057,-1.175,14.308,3.211,42.594,-4.522,70.185,122.619,52.434
1961-09-30,567.664,34.527,0.516,14.608,4.303,46.222,-2.547,70.961,130.767,59.806
1961-12-31,580.612,37.1,-1.796,15.172,3.901,46.979,-0.453,71.776,134.532,62.756000000000014
1962-03-31,594.013,39.407,1.508,15.324,3.111,47.437,-2.592,72.702,140.026,67.32400000000001
1962-06-30,600.366,39.661,0.293,15.792,3.745,47.464,-2.853,73.529,138.559,65.03
1962-09-30,609.027,40.692,1.6,15.992,4.773,46.689,-1.493,74.549,141.273,66.72399999999999
1962-12-31,612.28,43.229,-3.521,16.196,3.567,45.22,-2.334,75.608,138.437,62.82900000000001
1963-03-31,621.672,43.477,-2.178,16.596,3.971,46.175,-0.482,76.518,142.943,66.42500000000001
1963-06-30,629.752,44.817,-4.291,16.944,4.343,46.441,1.999,77.526,145.201,67.675
1963-09-30,644.444,45.541,0.994,17.22,5.221,45.932,1.899,78.503,150.428,71.925
1963-12-31,653.938,46.235,-0.371,17.704,6.252,49.841,1.051,79.524,152.32,72.79599999999999
1964-03-31,669.822,50.657,2.524,18.964,8.191,51.083,-1.476,80.617,156.25,75.633
1964-06-30,678.674,50.92,-0.053,19.584,5.976,56.253,-6.296,81.755,157.019,75.26400000000001
1964-09-30,692.031,51.459,0.931,20.016,8.13,54.746,-2.742,82.945,159.198,76.25300000000001
1964-12-31,697.319,51.503,-3.589,20.54,7.573,59.043,-1.376,84.239,161.706,77.46699999999998
1965-03-31,717.79,57.499,-2.362,20.42,5.659,55.548,2.521,85.615,172.738,87.123
1965-06-30,730.191,58.813,-2.491,21.16,6.269,56.274,1.649,87.146,173.961,86.81500000000001
1965-09-30,749.323,59.501,3.42,21.864,6.57,62.591,-5.743,88.773,180.105,91.332
1965-12-31,771.857,62.269,4.396,22.564,6.133,60.599,-5.83,90.49,183.231,92.741
1966-03-31,795.734,64.668,6.405,22.728,4.633,59.459,0.639,92.31,196.12,103.81
1966-06-30,804.981,63.743,3.895,22.456,3.316,59.937,-0.695,94.338,195.443,101.10500000000002
1966-09-30,819.638,62.672,5.242,22.248,3.202,61.565,-2.945,96.288,197.372,101.08400000000002
1966-12-31,833.302,64.476,4.798,21.844,4.084,66.483,-6.044,98.3,202.085,103.78500000000001
1967-03-31,844.17,62.694,7.373,22.932,4.262,72.234,-14.676,100.268,200.7,100.43199999999999
1967-06-30,848.983,61.809,3.302,23.54,3.255,69.908,-16.517,102.35,194.058,91.708
1967-09-30,865.233,62.608,2.47,23.948,3.583,73.961,-15.371,104.619,200.755,96.136
1967-12-31,881.439,64.384,0.294,23.248,2.832,75.875,-15.504,106.985,205.954,98.96900000000001
1968-03-31,909.387,61.667,5.258,24.876,1.611,74.194,-13.487,109.496,210.642,101.146
1968-06-30,934.344,65.05,6.881,25.804,2.025,76.781,-14.353,111.946,218.473,106.52700000000002
1968-09-30,950.825,65.527,1.549,26.516,1.834,68.831,-6.859,114.534,215.23,100.69599999999998
1968-12-31,968.03,66.09,-1.155,26.8,0.66,71.889,-6.499,117.45,220.312,102.86200000000001
1969-03-31,993.337,64.775,4.601,26.724,1.673,67.448,5.021,120.465,233.913,113.44800000000001
1969-06-30,1009.02,62.864,1.622,27.084,0.505,70.609,1.417,123.506,232.43,108.924
1969-09-30,1029.956,61.35,1.497,27.34,1.707,82.471,-5.105,126.325,237.493,111.16799999999999
1969-12-31,1038.147,56.844,-1.392,27.884,2.53,83.702,-9.433,129.289,228.597,99.30800000000002
1970-03-31,1051.2,53.587,4.137,27.9,3.909,88.257,-19.284,132.239,227.124,94.88499999999999
1970-06-30,1067.375,57.314,5.517,27.756,5.048,95.407,-30.417,135.272,230.29,95.018
1970-09-30,1086.059,56.24,6.58,27.82,3.736,102.739,-38.186,138.327,234.145,95.81800000000001
1970-12-31,1088.608,52.782,5.147,27.728,2.201,103.948,-45.609,141.511,227.851,86.34
1971-03-31,1135.156,62.238,13.309,28.488,4.488,107.689,-47.363,144.646,247.545,102.899
1971-06-30,1156.271,63.423,12.277,28.208,-0.138,114.205,-53.778,147.597,255.655,108.05799999999999
1971-09-30,1177.675,66.884,12.224,28.532,-0.02,113.742,-53.467,150.361,261.23,110.86900000000003
1971-12-31,1190.297,70.81,0.262,28.308,-3.084,112.064,-54.114,153.099,256.899,103.80000000000001
1972-03-31,1230.609,74.377,4.977,29.332,-5.031,107.356,-45.388,155.942,272.962,117.01999999999998
1972-06-30,1266.369,75.95,17.296,29.628,-4.754,102.435,-42.037,158.952,287.72,128.76800000000003
1972-09-30,1290.566,79.403,8.887,30.288,-3.599,108.686,-40.693,162.705,292.303,129.59799999999998
1972-12-31,1328.904,82.677,-2.522,31.02,-2.782,127.638,-43.638,166.434,302.348,135.91400000000002
1973-03-31,1377.49,87.48,6.67,32.116,2.206,121.706,-31.535,170.49,320.489,149.99899999999997
1973-06-30,1413.887,85.213,14.376,33.48,5.408,132.656,-35.018,175.393,333.732,158.33900000000003
1973-09-30,1433.838,89.045,2.48,35.012,12.474,136.625,-32.933,181.24,328.975,147.735
1973-12-31,1476.289,89.292,1.056,36.384,15.358,152.26,-31.407,187.608,347.066,159.45799999999997
1974-03-31,1491.209,85.693,0.063,37.684,16.517,148.705,-35.246,194.309,339.32,145.011
1974-06-30,1530.056,82.261,9.691,38.8,2.663,139.623,-38.808,202.126,353.428,151.302
1974-09-30,1560.026,72.772,3.57,39.38,0.309,140.248,-38.874,211.181,349.209,138.028
