Date,Higher Spreads to Large/Medium Cos,Higher Spreads to Small Cos,Tighter Conds to Large/Medium Cos,Tighter Conds to Small Cos,Loan Demand: Large/Medium Cos,Loan Demand: Small Cos,Loan Demand: RE and Constr,Demand: Credit Card Loans,"Demand: Cons Loans, excl Credit Cards/Autos",Demand: Mortgage Loans,Demand: Prime Mortgages,Demand: GSE-eligible mortgages,Mortgages
1990-04-01,10.7,7.4,54.4,52.7,NA,NA,NA,NA,NA,NA,NA,NA,0
1990-07-01,36.7,17.2,46.7,33.9,NA,NA,NA,NA,NA,NA,NA,NA,0
1990-10-01,62.1,33.9,54.2,40.7,NA,NA,NA,NA,NA,-47.3,NA,NA,-47.3
1991-01-01,66.7,37.5,38.6,31.6,NA,NA,NA,NA,NA,-57.4,NA,NA,-57.4
1991-04-01,56.7,25.4,20,6.9,NA,NA,NA,NA,NA,59.7,NA,NA,59.7
1991-07-01,39,14,18.6,8.8,NA,NA,NA,NA,NA,NA,NA,NA,0
1991-10-01,40,12.1,16.7,7,-33.3,-25.4,NA,NA,NA,5.3,NA,NA,5.3
1992-01-01,11.7,11.9,10,0,-30,-11.7,NA,NA,NA,38.6,NA,NA,38.6
1992-04-01,17.5,7.1,3.5,-7.1,14,25,NA,NA,NA,25.9,NA,NA,25.9
1992-07-01,1.7,5.2,-3.4,-1.7,-8.5,6.9,NA,NA,NA,24.6,NA,NA,24.6
1992-10-01,0,-7.1,5.2,-5.4,10.3,-1.8,NA,NA,NA,34,NA,NA,34
1993-01-01,0,0,3.4,-1.8,31,32.1,NA,NA,NA,3.6,NA,NA,3.6
1993-04-01,-27.6,-10.7,-12.1,-1.8,0,12.3,NA,NA,NA,43.8,NA,NA,43.8
1993-07-01,-45,-16.9,-25,-11.7,25,13.8,NA,NA,NA,45.8,NA,NA,45.8
1993-10-01,-65,-31,-20,-8.5,15,17.2,NA,NA,NA,24.1,NA,NA,24.1
1994-01-01,-55.9,-19.3,-18.6,-12.3,37.3,26.3,NA,NA,NA,17.2,NA,NA,17.2
1994-04-01,-65.5,-26.8,-15.5,-8.9,43.9,38.2,NA,NA,NA,-12.5,NA,NA,-12.5
1994-07-01,-60.3,-21.1,-10.3,-7,41.4,19.3,NA,NA,NA,-57.2,NA,NA,-57.2
1994-10-01,-55.2,-24.6,-22.4,-17.5,41.4,31.6,NA,NA,NA,-66.7,NA,NA,-66.7
1995-01-01,-49.2,-28.1,-10.2,-5.3,45.8,18.2,NA,NA,NA,-76.8,NA,NA,-76.8
1995-04-01,-61,-29.8,-6.8,-7,35.6,17.5,NA,NA,NA,-14.5,NA,NA,-14.5
1995-07-01,-55.2,-19.3,-8.6,-1.8,5.2,25,NA,NA,NA,51,NA,NA,51
1995-10-01,-46.6,-12.3,-5.2,-1.8,1.7,7.1,NA,NA,NA,16.4,NA,NA,16.4
1996-01-01,-36.2,-7,6.9,3.5,-3.4,14,NA,NA,NA,14.5,NA,NA,14.5
1996-04-01,-46.3,-17.3,-1.8,1.8,9.1,24.1,NA,NA,NA,22,NA,NA,22
1996-07-01,-35.2,-5.6,-7.4,-1.8,16.7,17.6,NA,NA,NA,-22,NA,NA,-22
1996-10-01,-39.3,-27.3,-8.6,-12.3,-1.7,3.6,NA,NA,NA,-11.7,NA,NA,-11.7
1997-01-01,-39.3,-11.1,-8.9,-5.3,7.3,14.8,NA,NA,NA,5.7,NA,NA,5.7
1997-04-01,-36.2,-12.3,-10.3,-3.5,10.5,10.7,NA,NA,NA,-9.5,NA,NA,-9.5
1997-07-01,-38.5,-25.5,-5.8,-2,13.5,19.6,NA,NA,NA,20,NA,NA,20
1997-10-01,-40.4,-40.4,-7,-3.5,19.3,19.3,NA,NA,NA,28.8,NA,NA,28.8
1998-01-01,-25.5,-24.1,1.8,1.9,25.9,15.4,NA,NA,NA,57.7,NA,NA,57.7
1998-04-01,-33.9,-25,-7.1,-1.8,28.6,21.8,NA,NA,NA,63.5,NA,NA,63.5
1998-07-01,-14.3,-30.4,0,-5.3,-8.9,0,NA,NA,NA,35.3,NA,NA,35.3
1998-10-01,47.3,18.9,36.4,14.8,27.8,7.7,NA,NA,NA,47,NA,NA,47
